generation,score
1465,2533
1466,2683
1467,3953
1468,3209
1469,2502
1470,3203
1471,3657
1472,3177
1473,2609
1474,2907
1475,4377
1476,3430
1477,3954
1478,2611
1479,3327
1480,2828
1481,3282
1482,3027
1483,3177
1484,2610
1485,3027
1486,3027
1487,2502
1488,2911
1489,2830
1490,2906
1491,3285
1492,3327
1493,2833
1494,3627
1495,3252
1496,3357
1497,3102
1498,3102
1499,3627
1500,3430
1501,3702
1502,3200
1503,3027
1504,2910
1505,4227
1506,3102
1507,2907
1508,3027
1509,3432
1510,3351
1511,3207
1512,2802
1513,3358
1514,2610
1515,3058
1516,3178
1517,3402
1518,2727
1519,3177
1520,3177
1521,2677
1522,3060
1523,2384
1524,2802
1525,2877
1526,3102
1527,3432
1528,2577
1529,2911
1530,3656
1531,3136
1532,3177
1533,3102
1534,2980
1535,2952
1536,2980
1537,4184
1538,3133
1539,3327
1540,2980
1541,2802
1542,2685
1543,3029
1544,3177
1545,3327
1546,2983
1547,2761
1548,3434
1549,3702
1550,3027
1551,2832
1552,2908
1553,2984
1554,3102
1555,3627
1556,3702
1557,2761
1558,3204
1559,3129
1560,2952
1561,2952
1562,2754
1563,2877
1564,2760
1565,3477
1566,3055
1567,2683
1568,3056
1569,2802
1570,3502
1571,3135
1572,3426
1573,2828
1574,2678
1575,3027
1576,3327
1577,2682
1578,2760
1579,2901
1580,2756
1581,3873
1582,2611
1583,3252
1584,3434
1585,3211
1586,3511
1587,2802
1588,2652
1589,3356
1590,3509
1591,3061
1592,3582
1593,2910
1594,2907
1595,2803
1596,2652
1597,3027
1598,3177
1599,2760
1600,2831
1601,3129
1602,2901
1603,2652
1604,2978
1605,2952
1606,2679
1607,2979
1608,3027
1609,3177
1610,2737
1611,3027
1612,3056
1613,3283
1614,2903
1615,2979
1616,3050
1617,2752
1618,3279
1619,3286
1620,3027
1621,3277
1622,3955
1623,2952
1624,2911
1625,2907
1626,2903
1627,3503
1628,3054
1629,2684
1630,2899
1631,2902
1632,2986
1633,3134
1634,2577
1635,3209
1636,2577
1637,2460
1638,3507
1639,2816
1640,2502
1641,2757
1642,2761
1643,2836
1644,3056
1645,2911
1646,2652
1647,2532
1648,3129
1649,3126
1650,2652
1651,2975
1652,3108
1653,2652
1654,2802
1655,3879
1656,2602
1657,2802
1658,2502
1659,3281
1660,3327
1661,2802
1662,3054
1663,2605
1664,3102
1665,2577
1666,2834
1667,3511
1668,2502
1669,3252
1670,2986
1671,2604
1672,3327
1673,2686
1674,2534
1675,2683
1676,3102
1677,2983
1678,2611
1679,3252
1680,3477
1681,2683
1682,2754
1683,3132
1684,2456
1685,3177
1686,2683
1687,3327
1688,2802
1689,4302
1690,3177
1691,2985
1692,2802
1693,3327
1694,2802
1695,2902
1696,3177
1697,5083
1698,3509
1699,3134
1700,3433
1701,3136
1702,3252
1703,3327
1704,2852
1705,3477
1706,2802
1707,2836
1708,3885
1709,3027
1710,3206
1711,4002
1712,3702
1713,3252
1714,2727
1715,3105
1716,2727
1717,2601
1718,3102
1719,5277
1720,2910
1721,5277
1722,3852
1723,4377
1724,3777
1725,3252
1726,3177
1727,3327
1728,5202
1729,4002
1730,3402
1731,4827
1732,4227
1733,4452
1734,5877
1735,5577
1736,5352
1737,4452
1738,5127
1739,5052
1740,3177
1741,4227
1742,8052
1743,5202
1744,3102
1745,16077
1746,4561
1747,7152
1748,117327
1749,164278
1750,4602
1751,18177
